"googleanalytics","google-analytics.com/ga.js"
"quantcast",".quantserve.com/quant.js"
"comscore","http://int.sitestat.com/comscore/"
"omniture","<!-- SiteCatalyst"
"facebook","<meta property=""fb:app_id"" conten"
"chartbeat","static.chartbeat.com/js/chartbeat.js"
"googleecom","google_conversion_id"
"floodlight","https://fls.doubleclick.net/activityi"
"nielsen","imrworldwide.com"
"webtrends","dcsMultiTrack"
"mbox","mboxCreate"
"oatt","mbox.js"
"newrelic","NREUMQ.push"
"tynt","tcr.tynt.com"
"coremetrics","cmCreatePageviewTag"
"foresee","foresee-trigger"
"clicktale","http://s.clicktale.net/"
"statcounter","sc_project"
"optimizely","//cdn.optimizely.com/js/"
"sitemeter",".sitemeter.com"
"marin","marinsm.com"
"googlewebsiteoptimizer","<!-- Google Website Optimizer"
"compete","c.compete.com/bootstrap/"
"lotame","//tags.crwdcntrl.net/c/"
"opionionlab","oo_engine"
"iperceptions","invite.iperceptions.com"
"getclicky","//static.getclicky.com/js"
"yahooweb","a.analytics.yahoo.com/p.pl"
"aweber","http://www.aweber.com/scripts/addlead.pl"
"unica","ntpagetag"
"clearsaleing","dsa.csdata1.com/data"
"monetate","b.monetate.net"
"eloqua","elqCfg.js"
"dynamic","http://content.dl-rms.com/rms/"
"mercent","cdn.mercent.com/js/tracker.js"
"crowdscience","static.crowdscience.com"
"certona","resx.appid"
"mixpanel","api.mixpanel.com/site_media/js/api/mixpanel.js"
"whoamungus","whos.amung.us"
"dotomi","login.dotomi.com/ucm/UCMController"
"brighttag","s.thebrighttag.com"
"kissmetrics","i.kissmetrics.com/i.js"
"googlessl","ssl.google-analytics.com/urchin.js"
"picnet","picnet.com.au/MET/resources/scripts/met.client.min.js"
"googleapis","ajax.googleapis.com/ajax/lib"
"cloudfront","cloudfront.net"
"akamai","a248.e.akamai.net"
"gstatic","ssl.gstatic.com"
"awss3","s3.amazonaws.com"
"facebook","static.ak.fbcdn.net"
"jquery","code.jquery.com"
"yahoo","yui.yahooapis.com"
"wordpress","files.wordpress.com"
"netdna","netdna-cdn.com"
"cloudflare","ajax.cloudflare.com/cdn-cgi"
"cloudflare","cdnjs.cloudflare.com"
"dt","dt07.net"
"turner","i.cdn.turner.com"
"cachefly","cachefly.net"
"clearchannel","content.clearchannel.com"
"mosso","cdn.cloudfiles.mosso.com"
"stackoverflow","cdn.sstatic.net"
"cloudlayer","http.cdnlayer.com"
"googlestore","commondatastorage.googleapis.com"
"gawker","cache.gawker.com"
"atgcom","ATGSvcs.setUOID"
"endeca","endeca"
"thefind","thefind.upfront.init"
"gsi","//media.gsimedia.net/tg/gsiutt/"
"Magento","Mage.Cookies.path"
"yahoo","store.yahoo.net"
"miva","merchant.mvc"
"magento","Mage.Cookies.domain"
"csn","CSNDomain:"
"xcart","xcart_web_dir"
"awwebstore","ue_id"
"ejunkie","https://www.e-junkie.com/ecom/gb.php"
"wpecom","wp-e-commerce"
"ubercart","ubercart"
"dmin","content=""DMinSite"
"volusion","volusion_ssl_seal"
"venda","/venda?ex="
"woo","woocommerce_params"
"addshoppers","AddShoppersTracking"
"intershop","/is-bin/intershop.static/"
"uniteu","UUWT_SDC = 'rpt1.uniteu.net"
"netsuite","https://checkout.netsuite.com/"
"romancart","http://www.romancart.com/cart.asp"
"shopsite","name=""generator"" content=""ShopSite"
"zencart","Zen Cart"
"fbplugins","http://www.facebook.com/plugins/like.php"
"fb","//connect.facebook.net/"
"twittershare","twitter-share-button"
"paypal","https://www.paypalobjects.com"
"paypal","https://www.paypallabs.com"
"ccbill","ccbill.com"
"billmelater","billmelater.com"
"networkforgood","https://npo.networkforgood.org/Donate/Donate.aspx"
"firstgiving","http://assets.firstgiving.com"
"googlecheckout","checkout.google.com"
"salesforce","https://lct.salesforce.com/sfga.js"
"optify","//service.optify.net/opt-v2"
"visualwebsiteoptimizer","dev.visualwebsiteoptimizer.com"
"marketo","munchkin.marketo.net"
"pardot","pardot.com/pd.js"
"eloqua","now.eloqua.com"
"User_Voice","UserVoice.push"
"Get_Satisfaction","https://widget.qa.getsatisfaction.com/javascripts/loader.js"
"Fresh_Desk","http://assets.freshdesk.com/widget/freshwidget.js"
"Spice_Works","SPICEWORKS.app"
"User_Echo","http://cdn.userecho.com/"
"Tender_Support","https://yourtendersite.tenderapp.com/tender_widget.js"
"Google_Moderator","https://www.google.com/moderator/static/moderator-embed-api.js"
"Doorbell.io","window.doorbellOptions"
"User_Report","https://cdn.userreport.com/userreport.js"
"Iperceptions","IPerceptionsJS"
"Usabilla","window.usabilla_live"
"User_Rules","community.userrules.com"
"Poll_Daddy","api.polldaddy.com"
"Qualaroo","_kiq"
"Hubspot","js.hs-analytics.net"
